   10.6     0.0   -40.7   -76.7 
   10.8     0.0   -41.5   -76.5 
   11.9     0.0   -44.9   -78.9 
   13.9     0.0   -44.1   -79.1 
   20.0 26840.0   -48.9   -81.9 
   25.6     0.0   -52.9   -84.9 
   30.0 24210.0   -53.3   -85.3 
   38.3     0.0   -55.5   -86.5 
   49.4     0.0   -60.9   -89.9 
   50.0 20980.0   -61.7   -90.7 
   52.3     0.0   -64.9   -92.9 
   65.9     0.0   -69.9   -96.9 
   70.0 18940.0   -69.1   -96.1 
   73.6     0.0   -69.1   -96.1 
   80.4     0.0   -74.1   -99.1 
   98.2     0.0   -70.7   -96.7 
  100.0 16840.0   -70.9   -96.9 
  105.0     0.0   -73.3   -99.3 
  111.0     0.0   -73.1   -99.1 
  150.0 14420.0   -62.3   -91.3 
  187.0     0.0   -52.5   -79.5 
  200.0 12590.0   -50.1   -63.1 
  244.0     0.0   -38.9   -48.9 
  250.0 11100.0   -37.7   -48.7 
  283.0     0.0   -29.3   -48.3 
  300.0  9810.0   -26.9   -41.9 
  385.0     0.0   -12.7   -31.7 
  400.0  7660.0   -11.5   -25.5 
  408.0     0.0   -10.5   -21.5 
  418.0     0.0    -8.9   -28.9 
  500.0  5920.0    -0.1   -20.1 
  503.0     0.0     0.4   -19.6 
  524.0     0.0     0.2   -10.8 
  581.0     0.0     6.2    -6.8 
  633.0     0.0     8.8     4.1 
  654.0     0.0    10.8     2.8 
  660.0     0.0    11.6    -6.4 
  696.0     0.0    13.6    -5.4 
  700.0  3156.0    13.6    -3.4 
  709.0     0.0    13.6     3.6 
  762.0     0.0    16.8     3.8 
  792.0     0.0    17.2    16.2 
  843.0     0.0    20.2    19.7 
  850.0  1497.0    20.8    19.3 
  887.0     0.0    23.8    17.8 
  925.0   756.0    25.0    19.0 
  968.0     0.0    26.4    18.4 
 1000.0    65.0    29.8    20.8 
 1002.0     0.0    30.4    21.4 
